"EmmissionsCW",,"EmmissionsCWLnChng",,
868.8435,1080.549,868.8435,1080.549,
869.2349,1083.732,869.2349,1083.732,
869.6077,1086.903,869.6077,1086.903,
869.9285,1089.763,869.9285,1089.763,
870.2335,1092.612,870.2335,1092.612,
870.5563,1095.783,870.5563,1095.783,
870.8914,1099.266,870.8914,1099.266,
871.2073,1102.748,871.2073,1102.748,
871.5306,1106.532,871.5306,1106.532,
871.8353,1110.326,871.8353,1110.326,
872.1197,1114.109,872.1197,1114.109,
872.3839,1117.892,872.3839,1117.892,
872.628,1121.676,872.628,1121.676,
872.8523,1125.459,872.8523,1125.459,
873.0391,1128.919,873.0391,1128.919,
873.2071,1132.38,873.2071,1132.38,
873.3558,1135.841,873.3558,1135.841,
873.4743,1138.99,873.4743,1138.99,
873.5661,1141.816,873.5661,1141.816,
873.6438,1144.653,873.6438,1144.653,
873.7136,1147.802,873.7136,1147.802,
873.7661,1150.951,873.7661,1150.951,
873.8013,1154.1,873.8013,1154.1,
873.8178,1156.938,873.8178,1156.938,
873.8199,1159.775,873.8199,1159.775,
873.8076,1162.612,873.8076,1162.612,
873.7809,1165.461,873.7809,1165.461,
873.7347,1168.61,873.7347,1168.61,
873.6716,1171.759,873.6716,1171.759,
873.5835,1175.231,873.5835,1175.231,
873.4769,1178.702,873.4769,1178.702,
873.352,1182.163,873.352,1182.163,
873.2219,1185.312,873.2219,1185.312,
873.0753,1188.472,873.0753,1188.472,
872.9129,1191.621,872.9129,1191.621,
872.7336,1194.77,872.7336,1194.77,
872.5374,1197.919,872.5374,1197.919,
872.3237,1201.067,872.3237,1201.067,
872.0934,1204.217,872.0934,1204.217,
871.8455,1207.377,871.8455,1207.377,
871.582,1210.525,871.582,1210.525,
871.3019,1213.674,871.3019,1213.674,
871.0055,1216.823,871.0055,1216.823,
870.6925,1219.972,870.6925,1219.972,
870.3636,1223.121,870.3636,1223.121,
869.9829,1226.593,869.9829,1226.593,
869.5493,1230.364,869.5493,1230.364,
869.019,1234.771,869.019,1234.771,
868.4649,1239.177,868.4649,1239.177,
867.889,1243.572,867.889,1243.572,
867.246,1248.29,867.246,1248.29,
866.4873,1253.642,866.4873,1253.642,
865.2857,1261.809,865.2857,1261.809,
859.7303,1298.616,859.7303,1298.616,
859.1049,1303.034,859.1049,1303.034,
858.5898,1306.817,858.5898,1306.817,
858.1775,1309.977,858.1775,1309.977,
857.8609,1312.514,857.8609,1312.514,
857.5961,1314.729,857.5961,1314.729,
857.3785,1316.632,857.3785,1316.632,
857.1713,1318.534,857.1713,1318.534,
857.0068,1320.125,857.0068,1320.125,
856.8508,1321.717,856.8508,1321.717,
856.7052,1323.296,856.7052,1323.296,
856.5942,1324.576,856.5942,1324.576,
856.4906,1325.844,856.4906,1325.844,
856.3939,1327.113,856.3939,1327.113,
856.3031,1328.393,856.3031,1328.393,
856.2203,1329.661,856.2203,1329.661,
856.1441,1330.941,856.1441,1330.941,
856.0762,1332.209,856.0762,1332.209,
856.0155,1333.488,856.0155,1333.488,
855.9629,1334.768,855.9629,1334.768,
855.9191,1336.037,855.9191,1336.037,
855.8835,1337.316,855.8835,1337.316,
855.8569,1338.585,855.8569,1338.585,
855.8391,1339.864,855.8391,1339.864,
855.8304,1341.144,855.8304,1341.144,
855.8312,1342.412,855.8312,1342.412,
855.8416,1343.692,855.8416,1343.692,
855.8616,1344.972,855.8616,1344.972,
855.8912,1346.24,855.8912,1346.24,
855.9314,1347.52,855.9314,1347.52,
855.9819,1348.799,855.9819,1348.799,
856.0422,1350.068,856.0422,1350.068,
856.1135,1351.347,856.1135,1351.347,
856.1944,1352.616,856.1944,1352.616,
856.2867,1353.895,856.2867,1353.895,
856.3882,1355.163,856.3882,1355.163,
856.4999,1356.432,856.4999,1356.432,
856.6214,1357.701,856.6214,1357.701,
856.7527,1358.969,856.7527,1358.969,
856.8939,1360.238,856.8939,1360.238,
857.0449,1361.507,857.0449,1361.507,
857.2055,1362.775,857.2055,1362.775,
857.3759,1364.043,857.3759,1364.043,
857.5547,1365.301,857.5547,1365.301,
857.7441,1366.569,857.7441,1366.569,
857.9415,1367.827,857.9415,1367.827,
858.1484,1369.085,858.1484,1369.085,
858.3643,1370.342,858.3643,1370.342,
858.5898,1371.599,858.5898,1371.599,
858.8254,1372.857,858.8254,1372.857,
859.0702,1374.114,859.0702,1374.114,
859.3226,1375.36,859.3226,1375.36,
859.5872,1376.618,859.5872,1376.618,
859.8592,1377.864,859.8592,1377.864,
860.1411,1379.11,860.1411,1379.11,
860.4327,1380.355,860.4327,1380.355,
860.7351,1381.603,860.7351,1381.603,
861.0443,1382.838,861.0443,1382.838,
861.3639,1384.073,861.3639,1384.073,
861.6942,1385.31,861.6942,1385.31,
862.034,1386.543,862.034,1386.543,
862.3846,1387.778,862.3846,1387.778,
862.7429,1389.003,862.7429,1389.003,
863.1107,1390.226,863.1107,1390.226,
863.4899,1391.451,863.4899,1391.451,
863.8764,1392.665,863.8764,1392.665,
864.2733,1393.878,864.2733,1393.878,
864.6804,1395.089,864.6804,1395.089,
865.0987,1396.302,865.0987,1396.302,
865.5251,1397.505,865.5251,1397.505,
865.9622,1398.707,865.9622,1398.707,
866.4102,1399.907,866.4102,1399.907,
866.8663,1401.098,866.8663,1401.098,
867.3334,1402.288,867.3334,1402.288,
867.8121,1403.479,867.8121,1403.479,
868.298,1404.658,868.298,1404.658,
868.7958,1405.838,868.7958,1405.838,
869.3049,1407.016,869.3049,1407.016,
869.8218,1408.186,869.8218,1408.186,
870.3455,1409.344,870.3455,1409.344,
870.8801,1410.501,870.8801,1410.501,
871.4266,1411.658,871.4266,1411.658,
871.9854,1412.816,871.9854,1412.816,
872.5493,1413.961,872.5493,1413.961,
873.1206,1415.098,873.1206,1415.098,
873.7022,1416.232,873.7022,1416.232,
874.2955,1417.368,874.2955,1417.368,
874.8948,1418.493,874.8948,1418.493,
875.5042,1419.617,875.5042,1419.617,
876.1258,1420.741,876.1258,1420.741,
876.7513,1421.852,876.7513,1421.852,
877.384,1422.956,877.384,1422.956,
878.0322,1424.065,878.0322,1424.065,
878.6876,1425.167,878.6876,1425.167,
879.3488,1426.259,879.3488,1426.259,
880.0204,1427.349,880.0204,1427.349,
880.6975,1428.428,880.6975,1428.428,
881.3871,1429.508,881.3871,1429.508,
882.0823,1430.578,882.0823,1430.578,
882.7881,1431.645,882.7881,1431.645,
883.4993,1432.702,883.4993,1432.702,
884.2236,1433.759,884.2236,1433.759,
